Activity,Start time,Duration,Day of activity,Weekend or weekday
3.836925900665783679e-02,-1.520829928190592817e+00,-7.066890891031430214e-03,-4.988847527568825158e-02,-6.146531602966721630e-01
3.836925900665783679e-02,-1.328990153451635514e+00,1.819510609611658947e-02,-4.988847527568825158e-02,-6.146531602966721630e-01
3.836925900665783679e-02,-1.396636134626805026e+00,6.478216547501285116e-02,-4.988847527568825158e-02,-6.146531602966721630e-01
-1.008677310098816005e+00,-1.219629150551777785e+00,-2.652641847726608382e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,-1.223857024375226032e+00,-2.503366410984370627e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-1.008677310098816005e+00,-1.231431964975570503e+00,-1.784875847323927622e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
1.085415828112131775e+00,-1.257292459862328071e+00,-2.493524074495871157e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,-1.267932608984672305e+00,3.974531387862863530e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
3.836925900665783679e-02,-9.077529915087566570e-01,7.446046302203709888e-02,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,-9.850526179141327887e-01,-2.588666660551363630e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-9.251156213152639252e-02,-9.919933774409600558e-01,-2.746144044367350712e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
1.739819933803052887e+00,-9.949881213992357587e-01,-2.526331862790868743e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
1.216296649250315998e+00,-1.002950617100063058e+00,-2.649361068897109206e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,-1.007248955487235254e+00,2.914466656778485820e+00,-4.988847527568825158e-02,-6.146531602966721630e-01
3.836925900665783679e-02,-1.753795484419602424e-01,6.839102218746256900e-02,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,-2.550397377320947623e-01,-2.675607299533106498e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-8.777964889606317822e-01,-2.587743596094739251e-01,-2.501726021569620761e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-1.139558131237000227e+00,-1.574207932493254872e-02,4.152304509148737388e+00,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,8.826811081577878859e-01,-2.662484184215107574e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-1.008677310098816005e+00,8.866975882900635098e-01,-2.301598512970136345e-01,4.802214382652577607e-01,-6.146531602966721630e-01
1.608939112664868665e+00,8.984651704319942533e-01,-2.695291972510104883e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-6.160348466842633375e-01,9.019179340544768442e-01,-2.337687080094633663e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,9.129104059954418204e-01,-2.539454978108867667e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-4.851540255460790596e-01,9.256997243113723739e-01,-2.380337204878130164e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-9.251156213152639252e-02,9.361284797425443172e-01,-2.726459371390352882e-01,4.802214382652577607e-01,-6.146531602966721630e-01
3.836925900665783679e-02,9.390175268552337640e-01,4.402673025112580074e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.094779444967434179e+00,-2.531253031035117784e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,1.105243432680468096e+00,-2.231061768135892132e-01,4.802214382652577607e-01,-6.146531602966721630e-01
1.216296649250315998e+00,1.118772628915501999e+00,-2.731380539634602478e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.121309353209570814e+00,3.380710419723411131e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.257623051733909980e+00,-2.693651583095355573e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-1.008677310098816005e+00,1.261251976765702887e+00,-2.360652531901131501e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-8.777964889606317822e-01,1.272420610115978290e+00,-2.475479790933622637e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.280453570380529538e+00,-2.744503654952601401e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-9.251156213152639252e-02,1.282814133265288259e+00,-2.700213140754355035e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.287218168498046600e+00,-2.527972252205618608e-01,4.802214382652577607e-01,-6.146531602966721630e-01
3.836925900665783679e-02,1.294264624870459901e+00,-4.692835366945322800e-02,4.802214382652577607e-01,-6.146531602966721630e-01
1.216296649250315998e+00,1.345738988670940550e+00,-2.472199012104122906e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.353842413499216191e+00,4.903442709341409439e-02,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,1.425857197625282069e+00,-2.682168857192105960e-01,4.802214382652577607e-01,-6.146531602966721630e-01
4.310117224212104969e-01,1.429486122657074976e+00,-2.660843794800357709e-01,4.802214382652577607e-01,-6.146531602966721630e-01
3.836925900665783679e-02,1.434911894063833460e+00,1.233723662425769918e+00,4.802214382652577607e-01,-6.146531602966721630e-01
-9.251156213152639252e-02,-1.402167602879149433e+00,-2.734661318464101654e-01,4.802214382652577607e-01,-6.146531602966721630e-01
1.216296649250315998e+00,-1.152828744141298101e+00,-2.726459371390352882e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-1.155471165280953061e+00,-2.436110444979625866e-01,4.802214382652577607e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-1.164772487692538938e+00,-1.212379941576223197e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,-1.200498021500675305e+00,-2.482041348592622099e-01,4.802214382652577607e-01,-6.146531602966721630e-01
4.310117224212104969e-01,-1.208566214047088749e+00,-2.701853530169104345e-01,4.802214382652577607e-01,-6.146531602966721630e-01
1.085415828112131775e+00,-1.213851056326398892e+00,-2.209736705744143881e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,-1.230410228801570582e+00,-2.016170754803658927e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-2.233923832697106149e-01,-1.253311212011914533e+00,7.396834619761216700e-02,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-1.076727015319232095e+00,-2.388539151951879491e-01,4.802214382652577607e-01,-6.146531602966721630e-01
3.836925900665783679e-02,-1.086627286522473312e+00,1.179590811739024137e+00,4.802214382652577607e-01,-6.146531602966721630e-01
5.618925435593947748e-01,-8.943999566830331815e-01,-2.518129915717119416e-01,4.802214382652577607e-01,-6.146531602966721630e-01
5.618925435593947748e-01,-6.514381409622158614e-01,-2.706774698413354496e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-6.545385817660778205e-01,-2.621474448846360938e-01,4.802214382652577607e-01,-6.146531602966721630e-01
6.927733646975789972e-01,-6.594358689449053568e-01,-2.636237953579109727e-01,4.802214382652577607e-01,-6.146531602966721630e-01
6.927733646975789972e-01,-6.661652347805601115e-01,-2.708415087828103807e-01,4.802214382652577607e-01,-6.146531602966721630e-01
-7.469156678224475598e-01,-6.691952110206978999e-01,-2.217938652817892931e-01,4.802214382652577607e-01,-6.146531602966721630e-01
9.545350069739474419e-01,-6.838870725571800646e-01,-2.716617034901853134e-01,4.802214382652577607e-01,-6.146531602966721630e-01
