Activity,Start time,Duration,Day of activity,Weekend or weekday
-7.795275950522650987e-01,8.689759201397794230e-01,-2.230977639202945395e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-1.042412779332186012e+00,8.729556789325282340e-01,-1.791115679280233242e-01,4.856444338007570027e-01,-6.105210389409310157e-01
1.586439063467022015e+00,8.846156739919858181e-01,-2.270965090105010187e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-6.480850029123047529e-01,8.880368701471558213e-01,-1.835101875272504568e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,8.989288415799422394e-01,-2.081024698320202704e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-5.166424107723442960e-01,9.116012314200112598e-01,-1.887085561445188686e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-1.223146343524631197e-01,9.219346402152189812e-01,-2.308953168461971572e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,9.247972737328102877e-01,6.380319912556695616e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.079135112528801121e+00,-2.071027835594686228e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,1.089503431488857421e+00,-1.705142659840794273e-01,4.856444338007570027e-01,-6.105210389409310157e-01
1.192111287047140866e+00,1.102908934790748807e+00,-2.314951286097281513e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.105422466659853331e+00,5.134710816957378521e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.240489894459375630e+00,-2.268965717559907058e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-1.042412779332186012e+00,1.244085641438789080e+00,-1.863093090903949756e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-9.109701871922255556e-01,1.255152163695819167e+00,-2.003049169061176249e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.263111681281316789e+00,-2.330946266458107097e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-1.223146343524631197e-01,1.265450662326178088e+00,-2.276963207740319850e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.269814432932262260e+00,-2.067029090504479971e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,1.276796465901997246e+00,4.421834536000820298e-02,4.856444338007570027e-01,-6.105210389409310157e-01
1.192111287047140866e+00,1.327800216745910866e+00,-1.999050423970969992e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.335829554661106311e+00,1.611816392485475036e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,1.407185931611797391e+00,-2.254970109744184326e-01,4.856444338007570027e-01,-6.105210389409310157e-01
4.034557342073784580e-01,1.410781678591210619e+00,-2.228978266657841989e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,1.416157843977906783e+00,1.605128491322105111e+00,4.856444338007570027e-01,-6.105210389409310157e-01
-1.223146343524631197e-01,-1.394983180461622840e+00,-2.318950031187487493e-01,4.856444338007570027e-01,-6.105210389409310157e-01
1.192111287047140866e+00,-1.147923943827552362e+00,-2.308953168461971572e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-1.150542206191202732e+00,-1.955064227978698665e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-1.159758489711252949e+00,-4.635323093316842669e-02,4.856444338007570027e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,-1.195157396867809085e+00,-2.011046659241589318e-01,4.856444338007570027e-01,-6.105210389409310157e-01
4.034557342073784580e-01,-1.203151824618155619e+00,-2.278962580285422979e-01,4.856444338007570027e-01,-6.105210389409310157e-01
1.060668694907180409e+00,-1.208388349345456581e+00,-1.679150816754451936e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,-1.224796126824333919e+00,-1.443224856432269998e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-2.537572264924235488e-01,-1.247487733975972457e+00,1.915721019341167508e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-1.072517987754414648e+00,-1.897082424170704884e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-1.082327744076892362e+00,1.539149197333698371e+00,4.856444338007570027e-01,-6.105210389409310157e-01
5.348983263473389149e-01,-8.918578846625234702e-01,-2.055032855233860367e-01,4.856444338007570027e-01,-6.105210389409310157e-01
5.348983263473389149e-01,-6.511173878660627690e-01,-2.284960697920732919e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-6.541894823727461006e-01,-2.180993325575364405e-01,4.856444338007570027e-01,-6.105210389409310157e-01
6.663409184872992608e-01,-6.590419952867120346e-01,-2.198987678481293395e-01,4.856444338007570027e-01,-6.105210389409310157e-01
6.663409184872992608e-01,-6.657098367728088162e-01,-2.286960070465836048e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-6.687121109497948801e-01,-1.689147679479968134e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.292261027672200635e-01,-6.832696496916921269e-01,-2.296956933191351968e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-6.860973730444347440e-01,-2.141005874673299891e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-6.940918007947812773e-01,-1.979056698519937596e-01,4.856444338007570027e-01,-6.105210389409310157e-01
4.034557342073784580e-01,-7.029589826663447116e-01,-2.288959443010939176e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-7.070434719536395907e-01,1.837745490082141608e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-5.309216902920756986e-01,-2.174995207940054742e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-5.381131842509028207e-01,-2.198987678481293395e-01,4.856444338007570027e-01,-6.105210389409310157e-01
1.060668694907180409e+00,-5.427911463406251968e-01,-1.673152699119142273e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-5.592338339843508921e-01,4.224996308935405898e-01,4.856444338007570027e-01,-6.105210389409310157e-01
-7.795275950522650987e-01,-4.257024534381702585e-01,1.276231707652622616e+00,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-1.940735096672136228e-01,-1.775120698919407380e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.127957787497276501e-03,-2.067458995072825600e-01,1.449867216332113573e-01,4.856444338007570027e-01,-6.105210389409310157e-01
1.323553879187101323e+00,-2.503849146993079172e-02,-1.817107522366575301e-01,4.856444338007570027e-01,-6.105210389409310157e-01
9.292261027672200635e-01,-4.046878433304499506e-02,-1.397239287894895821e-01,4.856444338007570027e-01,-6.105210389409310157e-01
